800 800
60 (45.44,-73.6352) 
20 (45.5228,-73.4982) 
28 (45.5575,-73.571) 
27 (45.5614,-73.5039) 54 (45.5324,-73.5982) 
21 (45.4302,-73.6463) 14 (45.4778,-73.6461) 
91 (45.5161,-73.5909) 53 (45.4569,-73.5385) 
28 (45.4846,-73.618) 3 (45.4558,-73.4963) 
97 (45.554,-73.5363) 70 (45.5172,-73.6463) 
1 (45.5523,-73.5188) 37 (45.5233,-73.6023) 
50 (45.4318,-73.649) 54 (45.5541,-73.6058) 
38 (45.5556,-73.574) 45 (45.4486,-73.5907) 
17 (45.442,-73.5054) 80 (45.4736,-73.5776) 
7 (45.4497,-73.6575) 42 (45.5036,-73.6097) 
33 (45.5412,-73.644) 4 (45.5105,-73.6654) 
19 (45.4658,-73.5858) 46 (45.5139,-73.5752) 
52 (45.5209,-73.6335) 42 (45.4937,-73.5537) 
68 (45.5106,-73.5312) 31 (45.4528,-73.6107) 
48 (45.4663,-73.6528) 62 (45.4906,-73.5409) 
70 (45.4735,-73.5863) 52 (45.5036,-73.5686) 
55 (45.5376,-73.5134) 26 (45.5584,-73.666) 
76 (45.5306,-73.5987) 62 (45.4731,-73.4977) 
65 (45.4572,-73.4979) 72 (45.5539,-73.5717) 
70 (45.5118,-73.5728) 1 (45.4542,-73.6307) 
36 (45.5634,-73.5995) 76 (45.4776,-73.5852) 
24 (45.5643,-73.6208) 24 (45.5415,-73.6384) 
95 (45.5322,-73.5853) 7 (45.4671,-73.5391) 
43 (45.5197,-73.648) 1 (45.4702,-73.6201) 
41 (45.5062,-73.5557) 10 (45.5049,-73.658) 
96 (45.5347,-73.5616) 76 (45.5575,-73.5703) 
88 (45.4298,-73.6559) 47 (45.548,-73.526) 
68 (45.5355,-73.6615) 82 (45.4688,-73.5993) 
94 (45.5069,-73.6017) 58 (45.5235,-73.5344) 
16 (45.5004,-73.56) 88 (45.4907,-73.6472) 
18 (45.5638,-73.6067) 25 (45.5063,-73.5982) 
4 (45.4433,-73.5908) 8 (45.5071,-73.5726) 
6 (45.5638,-73.5589) 60 (45.4601,-73.531) 
93 (45.5273,-73.5588) 
2 (45.435,-73.5166) 
22 (45.4417,-73.5922) 96 (45.4898,-73.5363) 
87 (45.4534,-73.6639) 57 (45.4731,-73.4977) 
22 (45.4317,-73.6561) 91 (45.456,-73.6389) 
32 (45.5608,-73.623) 60 (45.4721,-73.5207) 
66 (45.5154,-73.6333) 45 (45.496,-73.5826) 
92 (45.538,-73.5962) 6 (45.4873,-73.6427) 
23 (45.5758,-73.5286) 10 (45.5593,-73.5286) 
4 (45.5015,-73.5643) 92 (45.569,-73.5311) 
8 (45.4619,-73.5801) 82 (45.4731,-73.5199) 
97 (45.4304,-73.5416) 5 (45.483,-73.6292) 
50 (45.5121,-73.5569) 66 (45.4745,-73.5896) 
5 (45.4872,-73.6089) 22 (45.4386,-73.6332) 
88 (45.565,-73.5283) 86 (45.4865,-73.6519) 
44 (45.5664,-73.5741) 43 (45.5421,-73.5973) 
97 (45.5719,-73.5254) 65 (45.548,-73.5439) 
16 (45.5004,-73.4984) 77 (45.5209,-73.5864) 
46 (45.5597,-73.5205) 68 (45.5796,-73.5257) 
48 (45.4678,-73.558) 60 (45.5445,-73.5807) 
71 (45.5651,-73.5662) 29 (45.575,-73.5009) 
54 (45.4734,-73.5936) 98 (45.551,-73.5894) 
71 (45.4407,-73.6299) 24 (45.4569,-73.542) 
25 (45.4829,-73.5036) 83 (45.4567,-73.5912) 
71 (45.4959,-73.5698) 74 (45.554,-73.6642) 
7 (45.5224,-73.5199) 12 (45.4923,-73.6604) 
8 (45.5769,-73.642) 47 (45.4799,-73.5399) 
7 (45.5173,-73.6128) 4 (45.4471,-73.5453) 
87 (45.4622,-73.6606) 57 (45.5207,-73.5569) 
86 (45.5203,-73.628) 84 (45.4338,-73.4969) 
88 (45.4553,-73.5285) 22 (45.5401,-73.5842) 
26 (45.4572,-73.6376) 85 (45.43,-73.6495) 
4 (45.4468,-73.5212) 37 (45.4663,-73.5901) 
8 (45.5322,-73.5723) 14 (45.4339,-73.5288) 
30 (45.5186,-73.567) 22 (45.4686,-73.6031) 
22 (45.4943,-73.5074) 66 (45.554,-73.5677) 
10 (45.5543,-73.5635) 99 (45.4431,-73.619) 
27 (45.4736,-73.5264) 3 (45.4951,-73.587) 
93 (45.4837,-73.6184) 77 (45.4963,-73.5581) 
81 (45.4963,-73.5829) 17 (45.5756,-73.6092) 
19 (45.4814,-73.5227) 45 (45.468,-73.663) 
4 (45.574,-73.6458) 45 (45.5599,-73.528) 
74 (45.5609,-73.5822) 70 (45.5229,-73.5646) 
95 (45.4441,-73.6551) 54 (45.4725,-73.5319) 
60 (45.4757,-73.5031) 3 (45.5458,-73.5515) 
38 (45.5282,-73.4965) 99 (45.5438,-73.5207) 
81 (45.5294,-73.6636) 52 (45.5209,-73.5739) 
88 (45.4751,-73.6524) 48 (45.4938,-73.5475) 
25 (45.4495,-73.6056) 84 (45.5324,-73.6157) 
55 (45.4737,-73.6079) 61 (45.4904,-73.5429) 
98 (45.527,-73.5088) 
3500 3500
88 (45.4678,-73.583) 
57 (45.431,-73.5841) 65 (45.5617,-73.6564) 
67 (45.5152,-73.5375) 47 (45.4892,-73.6483) 
46 (45.4534,-73.5358) 58 (45.5425,-73.5774) 
80 (45.4466,-73.619) 27 (45.5108,-73.5784) 
51 (45.5014,-73.5816) 4 (45.5017,-73.6358) 
37 (45.5561,-73.6244) 97 (45.509,-73.6562) 
68 (45.5,-73.6558) 82 (45.5465,-73.5193) 
15 (45.4393,-73.5575) 17 (45.5416,-73.523) 
92 (45.5749,-73.5066) 88 (45.4807,-73.5421) 
86 (45.447,-73.6149) 66 (45.4549,-73.5861) 
55 (45.4384,-73.6193) 88 (45.5204,-73.5717) 
29 (45.4978,-73.5795) 64 (45.5021,-73.5033) 
70 (45.4786,-73.6384) 3 (45.5215,-73.6075) 
59 (45.4415,-73.591) 34 (45.5552,-73.5179) 
52 (45.4324,-73.6318) 92 (45.5267,-73.592) 
35 (45.4437,-73.5252) 88 (45.5645,-73.514) 
93 (45.4971,-73.6094) 36 (45.5719,-73.5614) 
61 (45.4773,-73.5724) 13 (45.5124,-73.6253) 
27 (45.5469,-73.512) 1 (45.531,-73.5196) 
65 (45.5706,-73.5826) 38 (45.5344,-73.6007) 
87 (45.5308,-73.5813) 92 (45.5147,-73.6087) 
91 (45.5012,-73.5625) 24 (45.555,-73.6064) 
92 (45.4581,-73.5476) 59 (45.4939,-73.6099) 
26 (45.4297,-73.5917) 4 (45.5441,-73.6475) 
24 (45.5484,-73.6416) 100 (45.4665,-73.5444) 
43 (45.5453,-73.5103) 52 (45.5293,-73.5457) 
63 (45.4447,-73.6296) 80 (45.553,-73.548) 
20 (45.4936,-73.589) 61 (45.57,-73.5169) 
8 (45.4616,-73.6414) 56 (45.5454,-73.5386) 
29 (45.5417,-73.5283) 91 (45.4544,-73.5768) 
97 (45.449,-73.4994) 
492 492
11 (45.5801,-73.5288)
2 (40.7128,-74.0060) 2 (41.8781,87.6298)
96 (45.5612,-73.5374) 86 (45.4805,-73.5537) 
67 (45.5793,-73.5612) 45 (45.4367,-73.5015) 
47 (45.5127,-73.5005) 30 (45.5156,-73.5085) 
97 (45.4471,-73.5799) 15 (45.565,-73.5373) 
94 (45.5686,-73.612) 7 (45.5807,-73.5958) 
55 (45.4659,-73.6474) 18 (45.54,-73.508) 
80 (45.5029,-73.5525) 68 (45.4662,-73.5497) 
88 (45.5389,-73.645) 73 (45.5685,-73.5722) 
5 (45.5561,-73.6574) 86 (45.5416,-73.523) 
30 (45.4932,-73.5466) 51 (45.5593,-73.5966) 
23 (45.4466,-73.6624) 73 (45.4969,-73.5953) 
69 (45.5741,-73.5586) 72 (45.532,-73.6127) 
70 (45.4453,-73.6331) 50 (45.4754,-73.5459) 
50 (45.4941,-73.5795) 74 (45.4959,-73.5895) 
23 (45.5653,-73.5348) 94 (45.4923,-73.6287) 
16 (45.5203,-73.5849) 44 (45.4696,-73.5317) 
76 (45.4866,-73.6613) 42 (45.4693,-73.6398) 
11 (45.5171,-73.5741) 85 (45.5322,-73.5853) 
23 (45.5294,-73.5849) 2 (45.5143,-73.6441) 
48 (45.5352,-73.5896) 4 (45.5021,-73.5895) 
54 (45.455,-73.573) 93 (45.5805,-73.5516) 
24 (45.5049,-73.5405) 36 (45.5451,-73.6568) 
5 (45.4987,-73.5546) 56 (45.4317,-73.5804) 
48 (45.4667,-73.6456) 43 (45.5594,-73.6595) 
32 (45.5734,-73.601) 32 (45.4565,-73.6595) 
79 (45.4937,-73.6486) 78 (45.4492,-73.6477) 
76 (45.565,-73.5988) 96 (45.4775,-73.6611) 
55 (45.4639,-73.6207) 92 (45.5037,-73.5798) 
56 (45.4499,-73.6304) 63 (45.4966,-73.5931) 
1 (45.4557,-73.5723) 25 (45.5142,-73.5999) 
80 (45.5487,-73.5811) 30 (45.5218,-73.5114) 
34 (45.4317,-73.5804) 6 (45.5569,-73.6062) 
8 (45.4736,-73.6197) 58 (45.5544,-73.5093) 
99 (45.5532,-73.5968) 39 (45.4535,-73.6339) 
17 (45.4856,-73.5593) 1 (45.5208,-73.6231) 
38 (45.5187,-73.5093) 31 (45.4385,-73.5959) 
80 (45.5412,-73.6196) 72 (45.5075,-73.5985) 
47 (45.4933,-73.5484) 19 (45.5004,-73.5319) 
31 (45.4975,-73.5691) 56 (45.5154,-73.6333) 
91 (45.4656,-73.6189) 81 (45.5709,-73.5717) 
40 (45.4531,-73.6448) 87 (45.5005,-73.6525) 
25 (45.5203,-73.5719) 
65 (45.4637,-73.583) 
1 (45.4607,-73.6238) 46 (45.5717,-73.5576) 
40 (45.4466,-73.5412) 16 (45.4645,-73.6656) 
41 (45.4472,-73.5598) 9 (45.4395,-73.6483) 
45 (45.5299,-73.5062) 74 (45.4657,-73.6097) 
70 (45.4644,-73.5911) 89 (45.5644,-73.5381) 
73 (45.4485,-73.6465) 57 (45.4756,-73.6202) 
54 (45.4717,-73.581) 79 (45.4325,-73.661) 
97 (45.4989,-73.5183) 62 (45.5197,-73.6301) 
56 (45.4534,-73.6639) 42 (45.5319,-73.5289) 
100 (45.5766,-73.5695) 66 (45.4667,-73.5003) 
24 (45.4863,-73.5178) 58 (45.4993,-73.5564) 
53 (45.5318,-73.5793) 76 (45.544,-73.5707) 
64 (45.4671,-73.5391) 44 (45.4551,-73.5924) 
94 (45.5333,-73.5659) 51 (45.4478,-73.5301) 
86 (45.4945,-73.5314) 93 (45.4991,-73.5191) 
24 (45.4402,-73.6074) 83 (45.5413,-73.5762) 
12 (45.4821,-73.6602) 73 (45.4888,-73.5573) 
85 (45.4402,-73.6451) 3 (45.5641,-73.5807) 
16 (45.5286,-73.5091) 75 (45.4925,-73.5135) 
94 (45.566,-73.506) 94 (45.5153,-73.5647) 
18 (45.4452,-73.5125) 97 (45.5554,-73.6003) 
89 (45.5378,-73.5808) 58 (45.5708,-73.5726) 
27 (45.531,-73.5743) 9 (45.4919,-73.5916) 
56 (45.4781,-73.5708) 81 (45.4335,-73.507) 
19 (45.5789,-73.5145) 30 (45.5394,-73.6229) 
95 (45.4845,-73.614) 62 (45.4628,-73.5092) 
96 (45.5486,-73.6189) 30 (45.5194,-73.5994) 
42 (45.5162,-73.595) 50 (45.4826,-73.5777) 
11 (45.5226,-73.5466) 70 (45.487,-73.5627) 
44 (45.5418,-73.5192) 74 (45.5351,-73.5122) 
81 (45.501,-73.4963) 25 (45.5239,-73.6112) 
28 (45.5736,-73.59) 
101 (45.5,-73.5)
1 (45.43285193402142,-73.63346722309387)
1 (45.698464408463266,-73.43110581539375)
1 (45.5265473752473,-73.44446176903357)
1 (45.54537642983649,-73.61729523860055)
1 (45.414233456822686,-73.41085149954192)
1 (45.494093294348325,-73.60835611533649)
1 (45.48808251706414,-73.38028525795244)
1 (45.28806117885749,-73.48464335437677)
1 (45.44858679927526,-73.69689148560698)
1 (45.313403382405085,-73.71399424815948)
1 (45.53825832930008,-73.54720752762663)
1 (45.29090110558326,-73.67932112704383)
1 (45.600982448194806,-73.43939032236892)
1 (45.27349374621622,-73.49652108908867)
1 (45.44641016684091,-73.25368115565595)
1 (45.25119392734941,-73.5721503547294)
1 (45.74145075551355,-73.57114083854071)
1 (45.66580067735451,-73.54904147923148)
1 (45.53422616706662,-73.49108897485398)
1 (45.52890749124221,-73.47114685943448)
1 (45.53977539423507,-73.38547440308346)
1 (45.61844014881044,-73.66637276050575)
1 (45.48134694522212,-73.51057165304324)
1 (45.401322722737426,-73.49802305503685)
1 (45.58629388748828,-73.6029413347715)
1 (45.3928582170317,-73.27170300759582)
1 (45.281386457590685,-73.52751022380508)
1 (45.617023590192396,-73.70513836860569)
1 (45.71878321242569,-73.72091984810288)
1 (45.67611750820938,-73.47334557264956)
1 (45.490952053772794,-73.58296051312018)
1 (45.67306195236024,-73.43094472958185)
1 (45.26050892960893,-73.61295022251556)
1 (45.355147601031824,-73.6871369663497)
1 (45.53924200200664,-73.46633644967748)
1 (45.364125716751666,-73.26697363171051)
1 (45.49951560493337,-73.719591319591)
1 (45.38428789485045,-73.63502500027231)
1 (45.490798467855015,-73.4786389020391)
1 (45.277538254244696,-73.38441191149971)
1 (45.364236911404696,-73.54759613147992)
1 (45.482450622741595,-73.40539387516473)
1 (45.27899421156825,-73.6905271161206)
1 (45.53291718111785,-73.34331299768613)
1 (45.37550336780925,-73.5692032207366)
1 (45.52123248292475,-73.63567330024296)
1 (45.55283096582153,-73.72452954146088)
1 (45.69032083016153,-73.38249056314042)
1 (45.580025963755276,-73.48834118555638)
1 (45.59030281996745,-73.25277836911893)
1 (45.40462776286145,-73.46569094465171)
1 (45.375710197942894,-73.56314135231935)
1 (45.29543373616014,-73.71554264924981)
1 (45.35139660944492,-73.58192714707289)
1 (45.371177288244326,-73.47995266918227)
1 (45.29755490222039,-73.51424420882961)
1 (45.62194331196745,-73.26836497127779)
1 (45.41724018866075,-73.50938278096264)
1 (45.72594831040882,-73.29456291399161)
1 (45.453410843451195,-73.402782094837)
1 (45.30073887332469,-73.68911435376995)
1 (45.61673811003128,-73.2596671274633)
1 (45.704912445804645,-73.56981394586349)
1 (45.45029818261869,-73.62683390709364)
1 (45.62414025080616,-73.44667034341029)
1 (45.632749003860475,-73.72279257309334)
1 (45.43357329019358,-73.56640304717617)
1 (45.487707169135625,-73.60458313091154)
1 (45.727637559933584,-73.6642074882937)
1 (45.62377869672298,-73.64205914975419)
1 (45.447776067810985,-73.68771415511985)
1 (45.67706060613903,-73.407290088426)
1 (45.71887041813007,-73.38961115336309)
1 (45.56591876647995,-73.3479636453162)
1 (45.325875937037544,-73.2513170497736)
1 (45.49646044595411,-73.3592746324879)
1 (45.72362985561127,-73.50038425030519)
1 (45.67635847094632,-73.5987676676917)
1 (45.574843011137204,-73.51898084971401)
1 (45.30454714285575,-73.60295629212249)
1 (45.5539610504817,-73.70984184453654)
1 (45.4047983392675,-73.46327153701692)
1 (45.53788234819496,-73.38949890724095)
1 (45.46229952785108,-73.5019986426625)
1 (45.32844503506762,-73.51639042868544)
1 (45.60409354556335,-73.55634083399804)
1 (45.71614693528286,-73.53362179856244)
1 (45.73660363517135,-73.63060476120727)
1 (45.49973746277621,-73.31268887363022)
1 (45.61645505959956,-73.31273252002153)
1 (45.522121738448675,-73.62539532593563)
1 (45.28441830107592,-73.47201071560409)
1 (45.36944258623797,-73.74648776081776)
1 (45.63653684678113,-73.35976749806218)
1 (45.607257152754755,-73.69920043199669)
1 (45.6413659385795,-73.32422392152638)
1 (45.29540057699995,-73.29994409574682)
1 (45.33773713085459,-73.42439650391199)
1 (45.53142974142216,-73.53679196190298)
1 (45.263576372035544,-73.28605325996581)
1 (45.42146629654871,-73.42920823672532)
1 (45.373041965536565,-73.58520610363087)
1 (45.66680852007658,-73.36363299098146)
1 (45.296612049505065,-73.57147774128386)
1 (45.384857637754784,-73.4810799307526)
1 (45.48673907257593,-73.55491186928181)
1 (45.35370490239386,-73.50882170193505)
1 (45.37030269193254,-73.2754008279323)
1 (45.581151557693346,-73.47853024965775)
1 (45.598330225994914,-73.55388540826857)
1 (45.45098442530582,-73.5579077118403)
1 (45.34331740276025,-73.58883693749254)
1 (45.692005999163946,-73.74188647108184)
1 (45.344970270401475,-73.71026219540374)
1 (45.54861828438263,-73.40289463554781)
1 (45.546302531695936,-73.33657733127522)
1 (45.30568569892947,-73.6874765819511)
1 (45.69376077372145,-73.29717716987295)
1 (45.73495300244323,-73.46872578944382)
1 (45.69741330508931,-73.58538207776851)
1 (45.585470098623624,-73.52053043785315)
1 (45.36022669654094,-73.49267478172706)
1 (45.43627614652619,-73.27055001217445)
1 (45.28906738624706,-73.44574500932879)
1 (45.566021501633394,-73.41413434164497)
1 (45.394303873516236,-73.7228405879042)
1 (45.47125639019552,-73.33106424179519)
1 (45.36974847872482,-73.56527858119443)
1 (45.282791487014926,-73.64103601137457)
1 (45.420165759822424,-73.52370109358924)
1 (45.58783585494,-73.36223005318988)
1 (45.26968811729931,-73.6867653984796)
1 (45.56454383923312,-73.50009672692241)
1 (45.64121730142789,-73.7324387563732)
1 (45.37515312822371,-73.49066066483684)
1 (45.44425374848304,-73.51892352511939)
1 (45.444072030860454,-73.25418756211445)
1 (45.34658422942888,-73.69346912096654)
1 (45.568074776462126,-73.68097562994191)
1 (45.7338712043069,-73.5429320982798)
1 (45.267189408992074,-73.67132665935074)
1 (45.280425834671746,-73.53992685664248)
1 (45.38691370950334,-73.38641982904974)
1 (45.46430980161794,-73.25276444043466)
1 (45.70507023054586,-73.63585420390729)
1 (45.36039931800621,-73.48610755713086)
1 (45.6799124272303,-73.33104379661373)
1 (45.43615804768312,-73.70237539751383)
1 (45.500019626424084,-73.67144229709895)
1 (45.356603925133946,-73.44141232473311)
1 (45.261069240367995,-73.70274218862578)
1 (45.47731815826954,-73.60778981592856)
1 (45.39975065088133,-73.5927362550757)
1 (45.267332898066016,-73.63134183819136)
1 (45.46088568610138,-73.41144724869777)
1 (45.35734752172845,-73.62713891295492)
1 (45.36024659665794,-73.37742448401143)
1 (45.25296145587879,-73.2860868776536)
1 (45.53261318215899,-73.44177423988312)
1 (45.48747518486866,-73.31669168052395)
1 (45.722286497530504,-73.725533618645)
1 (45.614298833056424,-73.3322621366529)
1 (45.681577106440756,-73.7044155915972)
1 (45.45512153512479,-73.63592788690971)
1 (45.69171226333431,-73.64774595944897)
1 (45.42673262163738,-73.39833032051973)
1 (45.61015632721813,-73.6655807624524)
1 (45.56674928088298,-73.74969984989153)
1 (45.578515268526274,-73.29953592891296)
1 (45.56649341192519,-73.31926314135336)
1 (45.595996426864666,-73.40877855719076)
1 (45.69787380388666,-73.25052954960687)
1 (45.37482067170527,-73.65292253378838)
1 (45.49036795190412,-73.7009863989609)
1 (45.746034737277384,-73.6582389395083)
1 (45.37406116812419,-73.29908824349518)
1 (45.37684760380817,-73.47263468416715)
1 (45.255188935603854,-73.48015576161555)
1 (45.693915143099545,-73.66827103052503)
1 (45.631741684032505,-73.55590525213213)
1 (45.680923304957965,-73.43848615134928)
1 (45.388429465465165,-73.28981034291029)
1 (45.63337100559865,-73.2578543458707)
1 (45.33266733849534,-73.65235291816703)
1 (45.50862925455009,-73.63075719791189)
1 (45.34623045168769,-73.31645070718486)
1 (45.70515421173897,-73.64475998721727)
1 (45.730841164559,-73.32395450774551)
1 (45.4411576241478,-73.47037968056081)
1 (45.420188915380606,-73.70908844078059)
1 (45.38008846660916,-73.60849880770067)
1 (45.715746567046295,-73.70406207525716)
1 (45.26795603444273,-73.58072240958263)
1 (45.57923552182732,-73.47581392532634)
1 (45.60582496412937,-73.3863933005903)
1 (45.28070497974003,-73.65095093785516)
1 (45.27973868135592,-73.41277380762256)
1 (45.35792919520092,-73.67842938697986)
1 (45.60987863242955,-73.58207015986835)
1 (45.390189613271765,-73.35637791097291)
1 (45.4609421515368,-73.35051861807808)
1 (45.52749723417372,-73.61069392115807)
1 (45.37652297333937,-73.74067040736384)
1 (45.54492383702517,-73.35864998481246)
1 (45.66170386195031,-73.3883055978006)
1 (45.410948835637186,-73.52072754060349)
1 (45.44012170355735,-73.62007385256399)
1 (45.46859198771743,-73.45825034343513)
1 (45.45444139538091,-73.34700305987877)
1 (45.328590263436084,-73.3131209500452)
1 (45.26247524301654,-73.56243489523207)
1 (45.46499081641703,-73.4090686709248)
1 (45.50511075222522,-73.47073907826139)
1 (45.28526970716907,-73.54129806922528)
1 (45.58676025428911,-73.745326433229)
1 (45.619449899378075,-73.63328258292415)
1 (45.4142216600169,-73.62102337273035)
1 (45.635680056783706,-73.37567808577957)
1 (45.285640356778416,-73.46678886704113)
1 (45.6433487885904,-73.58293704233313)
1 (45.60768817339719,-73.66004757794789)
1 (45.58904766409492,-73.60818395171046)
1 (45.34612599974856,-73.49358092988432)
1 (45.28555931310725,-73.746268645898)
1 (45.482592478731945,-73.48996091881449)
1 (45.539535186570085,-73.6286441831718)
1 (45.25876188243572,-73.37692933116104)
1 (45.35964107154555,-73.6718216665579)
1 (45.63794028137475,-73.58991804428982)
1 (45.33368660313587,-73.68363485122649)
1 (45.7037197004004,-73.51507407997654)
1 (45.56061810586261,-73.2584026972989)
1 (45.64548569350246,-73.26769600093513)
1 (45.71124277674698,-73.6033086493738)
1 (45.55137477400271,-73.61690629395173)
1 (45.37016515815747,-73.4339208521626)
1 (45.44070383288463,-73.71767716165968)
1 (45.28065532192108,-73.55675787707834)
1 (45.31994420032433,-73.59599545317064)
1 (45.474031347863914,-73.72116025467594)
1 (45.53898929265698,-73.35199496799459)
1 (45.51562713335353,-73.2714582139218)
1 (45.35776505834205,-73.29930287842357)
1 (45.74052958540157,-73.56353185503039)
1 (45.40715853972348,-73.74663940941026)
1 (45.38400774732349,-73.52734023164273)
1 (45.64279057317227,-73.34987843456167)
1 (45.433919757092525,-73.65885131745338)
1 (45.44533436087906,-73.41931913152868)
1 (45.34537139654133,-73.61103541810284)
1 (45.71688245254162,-73.2578372194977)
1 (45.46151388192598,-73.42418989616539)
1 (45.659290596816696,-73.5308769291082)
1 (45.57860620954584,-73.29084367907136)
1 (45.3974774316882,-73.32891311673418)
1 (45.57833122654948,-73.58984530586113)
1 (45.728335100571684,-73.47705564603758)
1 (45.42584239667453,-73.74796911049238)
1 (45.53420628082697,-73.27488626625154)
1 (45.598131716905,-73.29547909905192)
1 (45.29880927605088,-73.71241128664562)
1 (45.664047765682234,-73.2745709735992)
1 (45.70304330020769,-73.30518100753723)
1 (45.2846555174045,-73.43646795481325)
1 (45.45828206241911,-73.52317018547437)
1 (45.34061856921877,-73.42417675122233)
1 (45.35556442651391,-73.35393149487477)
1 (45.721897134689634,-73.38351523853822)
1 (45.470516723715875,-73.34082716275714)
1 (45.53429379254745,-73.67500409472046)
1 (45.56589216562121,-73.4718116467071)
1 (45.587242024903595,-73.57357002489898)
1 (45.47628842495862,-73.5632815388259)
1 (45.52772111095814,-73.54173861066151)
1 (45.64290539723212,-73.28692641685161)
1 (45.376293886431206,-73.34510041672878)
1 (45.49013078646749,-73.72530783410686)
1 (45.50300256937709,-73.44631436001323)
1 (45.50029215092178,-73.31406114251358)
1 (45.25322073996985,-73.26576787891509)
1 (45.64808947589904,-73.73515809125843)
1 (45.49654811304448,-73.53324382898057)
1 (45.30202358910174,-73.2665860351064)
1 (45.3254479443596,-73.57554963235758)
1 (45.28656104835029,-73.26909260513246)
1 (45.47456509999311,-73.49004446404122)
1 (45.525827248007126,-73.40031247569307)
1 (45.26652626121115,-73.74335597236818)
1 (45.55729512009747,-73.29063611259672)
1 (45.51551192792419,-73.30830838503049)
1 (45.71223760457641,-73.29359814007917)
1 (45.336003083232235,-73.51018918031228)
1 (45.408637926143555,-73.53635604536032)
1 (45.71084393229094,-73.29596235020041)
1 (45.29180227737426,-73.34299777555933)
1 (45.470124987719906,-73.66689123187001)
1 (45.38809560418389,-73.6849600133243)
1 (45.52037959505371,-73.52626485159975)
1 (45.50802173943673,-73.62875649415976)
1 (45.742199659338866,-73.68952689248538)
1 (45.34629496831659,-73.30150916257676)
1 (45.44361524699414,-73.28408696393964)
1 (45.57860089961802,-73.67944245280788)
1 (45.61644542188431,-73.73044923574419)
1 (45.74742033489923,-73.5235444153679)
1 (45.49331644088796,-73.44502417919439)
1 (45.36259054580217,-73.5400158784036)
1 (45.544156411973596,-73.33809436523848)
1 (45.41620416760377,-73.33092241127248)
1 (45.58271395863184,-73.59788586127772)
1 (45.425996771865655,-73.42263115548657)
1 (45.57601156358469,-73.65355232722928)
1 (45.676549809773256,-73.6161580860948)
1 (45.5626327898114,-73.59610920659213)
1 (45.52343658664506,-73.59446902015561)
1 (45.28935550716623,-73.70696096113822)
1 (45.46186450699129,-73.64707061459144)
1 (45.269881988926244,-73.59864476574957)
1 (45.63841780816943,-73.53189563381385)
1 (45.45427951125892,-73.31176963420134)
1 (45.60218064896635,-73.38852981375423)
1 (45.57323376738573,-73.53586012541344)
1 (45.34982126632291,-73.74524540530739)
1 (45.48733061133138,-73.42991973770079)
1 (45.61814357147766,-73.52509969175067)
1 (45.528319679062676,-73.31100892104443)
